client_id	path	sentence	up_votes	down_votes	age	gender	accent
e614f02e259136b95a5e6fd496452f89acf015b42d965c8c975cbb88aefe05167b9660c56cf5c7266d79f0a03922d5b97124b6b37457a3cf64eba26245c7d18c	63f0d184c181d9c359945b6c82bd7f8d0f16e2cca40da1f80fe9f3ab3b8b7bfcab6e8db65d317193bc07c83a18c0d06917f270975a1d6beb57c6de8ef8223304.mp3	Oes ystafell ar gael?	0	2	fourties	male	united_kingdom
1c09400507f8e39803917da61325ae6faf8c0f88c7f08abbf0c30d895cba24f1f1368f4d380b6d47f788cc1cc610f54824374cb9e00150d83c84e636b431027e	e1d431145a3ae2a7ab651e9541d16f76c476178b585198bd0a019ff41457314f0004faae5961dce3226e56fb04226725c8395ae1d142de8b936b8445810aec14.mp3	oherwydd, Elliw, awdurdod, blynyddoedd, gwlad, tywysog, llyw, uwch	0	2	fifties	male	united_kingdom
dcb4d9ddeff0679bade2ee5b37ccc99e1d4665d23eef7eb3fb4e5fe95fc7f11db742daf494de12ceab0f17943c9687114982e7036bd7e0a73fe125c3e578098c	f668acebb2838f326d0a34171ffbc06ee62dbb74802bdf08d8955defbfc46a724cf7feca7520669fc0ca3f2e2e22db814206942a3ce5b6417b4eed4b090eb4bf.mp3	Beth yw tywydd yfory?	1	2	thirties	male	united_kingdom
dcb4d9ddeff0679bade2ee5b37ccc99e1d4665d23eef7eb3fb4e5fe95fc7f11db742daf494de12ceab0f17943c9687114982e7036bd7e0a73fe125c3e578098c	ef0323be60d2fe155a4467e9f4f1667ca54d299e0a86ebc8437582659a3d7e72988efb23c9fa1816b14c8aebeb0ecf00ca58292227962463e572931633e2a2db.mp3	"Faint o'r gloch mae'r bws olaf yn gadael?"	1	2	thirties	male	united_kingdom
dcb4d9ddeff0679bade2ee5b37ccc99e1d4665d23eef7eb3fb4e5fe95fc7f11db742daf494de12ceab0f17943c9687114982e7036bd7e0a73fe125c3e578098c	01568f58b7c1decdc6ea796a7a7cd28b04144b9ddf6c75074436441607965175001eb58ee37ba1aeb4f19e3a8a26e5a6e57c209b62a51da84540c1feeaa8fe37.mp3	Darpariaeth gofal meithrin rhad ac am ddim.	1	2	thirties	male	united_kingdom
dcb4d9ddeff0679bade2ee5b37ccc99e1d4665d23eef7eb3fb4e5fe95fc7f11db742daf494de12ceab0f17943c9687114982e7036bd7e0a73fe125c3e578098c	d0e9a57702628d11e5b7db852c12fea0a532c052df27905a02c4374ec313f5ee9dfe780c21baa36a71507ad27a431b710ccf51bc1e5e36f77d7802c379bf208a.mp3	Beth ydy Wicipedia Cymraeg?	1	2	thirties	male	united_kingdom
1c829d746e30ed45232aa40843709ff32264b379cd1396c08bc818d4bbfc263e6852004bb4392473dda5167703d86ac85b2e7e55d4c353d95637e5b26fe0ee45	faf33e9070429042cccb1d229dda17318ce91578b5b331db81fa2349ea4126b8d8dfd0158f9a68f750b9a973e0943c39585f20ebac5f234ff53fb450ecd40cb1.mp3	"Dw i'n chwarae'r piano."	0	2	twenties	male	united_kingdom
1c829d746e30ed45232aa40843709ff32264b379cd1396c08bc818d4bbfc263e6852004bb4392473dda5167703d86ac85b2e7e55d4c353d95637e5b26fe0ee45	b9865ce963a5e90b3916e8b65b037d3265bba3e158c9d3cfee2094a640b2acebfedc18d64feb03a8a6d140ff5500cdd016e1f1b97c57cbb67d6c63ca770b31a3.mp3	Beth sydd yn digwydd i olau wrth iddo deithio trwy atomau o nwy?	1	2	twenties	male	united_kingdom
dcb4d9ddeff0679bade2ee5b37ccc99e1d4665d23eef7eb3fb4e5fe95fc7f11db742daf494de12ceab0f17943c9687114982e7036bd7e0a73fe125c3e578098c	5f94765eb79a12e29d818525295a2dd9f55acf4ecf59c2ede781ddaf67dcc0ad69f5fd198e2b37f27b7ec6bcc7278ff593482337f18d8de9a0c081d622fd90a8.mp3	Bydd hawl i bleidleisio bum gwaith yn unig trwy bob dull o bleidleisio.	0	2	thirties	male	united_kingdom
90cd5b1f2a839122da2b26db9946d8a12ef1526dd27302f71981f4c0bf33a9d7d9cef12783ad8ba945b19663abfeaaec96e65d8a0dd96a46e8f2e7a382261435	ef60525c37da2d19aa4abb9771525a29187d3a30802008ab630b3abe0d7e9ac90dce9d942499ac9187a6c427909e206e2a33513b332359f6d8e0c64adac6545e.mp3	"Sori - wnes i ddim dy glywed di'n iawn."	1	2	thirties	male	united_kingdom
90cd5b1f2a839122da2b26db9946d8a12ef1526dd27302f71981f4c0bf33a9d7d9cef12783ad8ba945b19663abfeaaec96e65d8a0dd96a46e8f2e7a382261435	f401b5bc4dbba0ba8f567514cfb68a4ede1add6d1019b179ee91c81774fa1abee4839872519db470fc4068da9e4de082afc03a8fd1a66143362e6207fc328731.mp3	"Wyt ti'n gallu danfon copi o'r papur ata i plîs?"	0	2	thirties	male	united_kingdom
90cd5b1f2a839122da2b26db9946d8a12ef1526dd27302f71981f4c0bf33a9d7d9cef12783ad8ba945b19663abfeaaec96e65d8a0dd96a46e8f2e7a382261435	3ec6692ea484e0d7d6eec0b95eb45ea1a6c5c596e4ea17dcfd514e35b1c8541ae43c4570af55f9917bee94587233bee0512119871980411c09fbfb27b4174b6f.mp3	Ydy Mair yna?	0	2	thirties	male	united_kingdom
90cd5b1f2a839122da2b26db9946d8a12ef1526dd27302f71981f4c0bf33a9d7d9cef12783ad8ba945b19663abfeaaec96e65d8a0dd96a46e8f2e7a382261435	7cc99c9a33a1a154275c3146e118678434eb1fa3845ecbc3e8206f1bc6f74ca9e140bb21fd9427fb6b426419b5eb7e454e743e9081e32d7308102a81e9cc58f4.mp3	Oes gennych chi fwrdd i bedwar?	0	2	thirties	male	united_kingdom
90cd5b1f2a839122da2b26db9946d8a12ef1526dd27302f71981f4c0bf33a9d7d9cef12783ad8ba945b19663abfeaaec96e65d8a0dd96a46e8f2e7a382261435	02b341a0d56fdff0b0e10feb6dd2631150203d2fc710baf2c3d4fd98479fc6673ad22a8ec3291379113db3a9a41264247fb18a3349702429a121b6b74de3d1a0.mp3	Bydda i yn aros yma tan ddydd Sadwrn.	1	2	thirties	male	united_kingdom
